decade	coll	BE going to	will
1840	fight	3	26
1840	fill	0	30
1840	find	1	549
1840	finish	0	0
1840	fire	2	0
1840	fix	0	0
1840	fly	0	30
1840	follow	1	134
1840	force	0	12
1840	forget	0	38
1840	forgive	0	37
1840	form	0	41
1840	furnish	0	38
1840	gain	0	25
1840	get	4	107
1840	give	11	477
1840	go	0	511
1840	grow	1	75
1840	handle	0	0
1840	hang	0	0
1840	happen	2	18
1840	hate	0	0
1840	have	22	883
1840	hear	0	84
1840	help	0	58
1840	hire	0	0
1840	hit	0	0
1840	hold	1	69
1840	hunt	0	0
1840	hurt	1	0
1840	improve	0	7
1840	include	0	9
1840	increase	0	34
1840	insist	0	0
1840	introduce	0	0
1840	join	2	41
1840	jump	0	0
1840	keep	1	145
1840	kick	0	0
1840	kill	1	51
1840	kiss	0	0
1840	knock	2	0
1840	know	0	87
1840	land	0	0
1840	last	0	15
1840	lay	1	26
1840	lead	0	90
1840	learn	0	45
1840	leave	8	138
1840	let	0	101
1840	lie	0	28
1840	like	0	16
1840	listen	0	28
1840	live	4	76
1840	look	2	101
1840	lose	0	34
1840	love	0	63
1840	make	16	463
1840	marry	9	17
1840	mean	0	1
1840	meet	1	82
1840	miss	0	10
1840	move	1	25
1840	murder	1	0
1840	need	0	52
1840	occur	0	13
1840	offer	0	20
1840	open	2	24
1840	paint	0	0
1840	pardon	0	39
1840	pass	4	76
1840	pay	4	77
1840	perceive	0	49
1840	permit	0	61
1840	pick	0	0
1840	place	0	36
1840	play	3	22
1840	please	0	55
1840	present	0	16
1840	prevent	0	36
1840	proceed	0	43
1840	produce	0	70
1840	propose	0	0
1840	protect	0	25
1840	prove	0	123
1840	provide	0	17
1840	pull	0	0
1840	put	7	84
1840	quit	1	0
1840	rain	2	0
1840	raise	0	30
1840	reach	0	29
1840	read	0	51
1840	receive	1	101
1840	recognize	0	10
1840	reduce	0	5
1840	remain	1	93
1840	remember	0	97
1840	render	0	50
1840	report	0	5
1840	require	0	72
1840	rest	0	23
1840	result	0	14
1840	retire	0	0
1840	return	3	104
1840	ride	2	0
1840	rise	0	77
1840	ruin	1	0
1840	run	3	39
1840	sail	1	0
1840	satisfy	0	26
1840	save	1	91
1840	say	17	215
1840	secure	0	62
1840	see	13	362
1840	seek	3	58
1840	seem	0	32
1840	sell	2	22
1840	send	6	89
1840	serve	0	80
1840	set	2	39
1840	settle	0	12
1840	share	0	21
1840	shoot	3	0
1840	show	2	223
1840	shut	2	0
1840	sing	2	28
1840	sit	0	24
1840	sound	0	0
1840	speak	5	110
1840	spend	0	8
1840	stand	1	103
1840	start	1	18
1840	stay	5	34
1840	steal	1	0
1840	step	0	0
1840	stick	0	0
1840	stop	0	26
1840	strike	2	28
1840	study	0	0
1840	succeed	1	24
1840	sue	0	0
1840	suffer	0	59
1840	suffice	0	41
1840	suggest	0	0
1840	supply	0	19
1840	support	0	18
1840	surprise	0	0
1840	survive	0	8
1840	take	18	420
1840	talk	0	33
1840	teach	1	41
1840	tear	0	0
1840	tell	7	292
1840	tend	0	18
1840	think	0	86
1840	throw	1	36
1840	travel	0	0
1840	treat	0	0
1840	trust	0	0
1840	try	4	109
1840	turn	5	71
1840	understand	0	33
1840	use	2	34
1840	visit	4	21
1840	vote	0	5
